CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,mod_Attrition_Flag,mod_Gender,mod_Education_Level,mod_Income_Category,mod_Card_Category,handled_Total_Trans_Amt,mod_Age_Group,Trans_per_Month,Avg_Trans_Amt,Util_Ratio
768805383,Existing Customer,45,M,3,High School,2.0,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0,1,1.0,3.0,0,7.0431599159883405,Adults,1.0769230769230769,27.238095238095237,0.061224489795918366
818770008,Existing Customer,49,F,5,Graduate,1.0,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,0,3.0,1.0,0,7.163946684342547,Adults,0.75,39.121212121212125,0.10465116279069768
713982108,Existing Customer,51,M,3,Graduate,2.0,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0,1,3.0,4.0,0,7.543273346705446,Adults,0.5555555555555556,94.35,0.0
769911858,Existing Customer,40,F,4,High School,,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,0,1.0,1.0,0,7.066466970136958,Adults,0.5882352941176471,58.55,0.7597343797162692
709106358,Existing Customer,40,M,3,Uneducated,2.0,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0,1,0.0,3.0,0,6.705639094860003,Adults,1.3333333333333333,29.142857142857142,0.0
713061558,Existing Customer,44,M,2,Graduate,2.0,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0,1,3.0,2.0,0,6.9930151229329605,Adults,0.6666666666666666,45.333333333333336,0.3109725685785536
810347208,Existing Customer,51,M,4,Unknown,2.0,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0,1,,5.0,2,7.193685818395112,Adults,0.6739130434782609,42.903225806451616,0.06559276857109746
818906208,Existing Customer,32,M,0,High School,,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0,1,1.0,3.0,1,7.338888133838879,Adults,1.3333333333333333,42.72222222222222,0.0480038513118531
710930508,Existing Customer,37,M,3,Uneducated,1.0,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0,1,0.0,3.0,0,7.208600337960199,Adults,0.6666666666666666,56.25,0.11260737294201861
719661558,Existing Customer,48,M,2,Graduate,1.0,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0,1,3.0,4.0,0,7.273786317844895,Adults,0.8888888888888888,45.03125,0.14387439945092656
